== Temperaturas máximas y mínimas por estación ==
AEROPARQUE AERO: Tmax=36.3, Tmin=1.5
AZUL AERO: Tmax=38.1, Tmin=-7.7
BAHIA BLANCA AERO: Tmax=39.3, Tmin=-6.6
BARILOCHE AERO: Tmax=33.4, Tmin=-13.9
BASE BELGRANO II: Tmax=5.9, Tmin=-36.1
BASE CARLINI (EX JUBANY): Tmax=10.0, Tmin=-12.4
BASE ESPERANZA: Tmax=14.7, Tmin=-22.5
BASE MARAMBIO: Tmax=14.1, Tmin=-27.7
BASE ORCADAS: Tmax=10.1, Tmin=-23.5
BASE SAN MARTIN: Tmax=8.7, Tmin=-23.3
BENITO JUAREZ: Tmax=37.0, Tmin=-7.3
BERNARDO DE IRIGOYEN AERO: Tmax=33.1, Tmin=-1.2
BOLIVAR AERO: Tmax=38.5, Tmin=-8.0
BUENOS AIRES OBSERVATORIO: Tmax=38.5, Tmin=-1.9
CAMPO DE MAYO AERO: Tmax=38.0, Tmin=-6.7
CATAMARCA AERO: Tmax=42.7, Tmin=-6.2
CERES AERO: Tmax=33.6, Tmin=-4.5
CHAMICAL AERO: Tmax=28.0, Tmin=-3.6
CHAPELCO AERO: Tmax=34.6, Tmin=-15.0
CHEPES: Tmax=41.5, Tmin=-6.6
COMODORO RIVADAVIA AERO: Tmax=37.1, Tmin=-6.3
CONCORDIA AERO: Tmax=41.8, Tmin=-5.2
CORDOBA AERO: Tmax=40.5, Tmin=-8.1
CORDOBA OBSERVATORIO: Tmax=42.2, Tmin=-3.4
CORONEL SUAREZ AERO: Tmax=36.4, Tmin=-10.3
CORRIENTES AERO: Tmax=41.4, Tmin=-0.5
DOLORES AERO: Tmax=28.8, Tmin=-3.9
EL BOLSON AERO: Tmax=36.1, Tmin=-10.5
EL CALAFATE AERO: Tmax=27.4, Tmin=-14.1
EL PALOMAR AERO: Tmax=38.0, Tmin=-7.4
ESCUELA DE AVIACION MILITAR AERO: Tmax=None, Tmin=-7.0
ESQUEL AERO: Tmax=33.7, Tmin=-18.2
EZEIZA AERO: Tmax=38.5, Tmin=-4.6
FORMOSA AERO: Tmax=41.5, Tmin=1.4
GENERAL PICO AERO: Tmax=39.6, Tmin=-8.0
GOBERNADOR GREGORES AERO: Tmax=34.5, Tmin=-14.0
GUALEGUAYCHU AERO: Tmax=39.3, Tmin=-6.4
IGUAZU AERO: Tmax=37.3, Tmin=-1.2
ITUZAINGO: Tmax=40.5, Tmin=0.3
JACHAL: Tmax=39.6, Tmin=-8.1
JUJUY AERO: Tmax=38.7, Tmin=-2.8
JUJUY U N: Tmax=37.0, Tmin=-1.5
JUNIN AERO: Tmax=37.6, Tmin=-8.0
LA PLATA AERO: Tmax=38.1, Tmin=-5.2
LA QUIACA OBSERVATORIO: Tmax=27.1, Tmin=-10.2
LA RIOJA AERO: Tmax=45.0, Tmin=-5.0
LABOULAYE AERO: Tmax=38.5, Tmin=-7.1
LAS FLORES: Tmax=39.5, Tmin=-3.6
LAS LOMITAS: Tmax=42.8, Tmin=0.0
MALARGUE AERO: Tmax=36.6, Tmin=-16.0
MAQUINCHAO: Tmax=39.0, Tmin=-19.2
MAR DEL PLATA AERO: Tmax=39.9, Tmin=-6.3
MARCOS JUAREZ AERO: Tmax=39.2, Tmin=-8.0
MARIANO MORENO AERO: Tmax=None, Tmin=-5.5
MENDOZA AERO: Tmax=37.4, Tmin=-6.7
MENDOZA OBSERVATORIO: Tmax=None, Tmin=-6.0
MERCEDES AERO (CTES): Tmax=41.0, Tmin=-1.8
MERLO AERO: Tmax=33.9, Tmin=-4.0
METAN: Tmax=40.0, Tmin=-0.4
MONTE CASEROS AERO: Tmax=40.6, Tmin=-1.9
MORON AERO: Tmax=38.0, Tmin=-4.9
